panel,gap_bucket,weighting,share_pct
World Cup 2026/27 | post_0_to_105m  F=5s | draw,≤−4,per second,0.10778568034398699
World Cup 2026/27 | post_0_to_105m  F=5s | draw,"(−4,−3]",per print,0.08790750043652697
World Cup 2026/27 | post_0_to_105m  F=5s | draw,"(−4,−3]",per second,0.08769659296804676
World Cup 2026/27 | post_0_to_105m  F=5s | draw,"(−3,−2]",per print,1.1973884648500455
World Cup 2026/27 | post_0_to_105m  F=5s | draw,"(−3,−2]",per second,1.177529583112804
World Cup 2026/27 | post_0_to_105m  F=5s | draw,"(−2,−1]",per print,13.021750081786088
World Cup 2026/27 | post_0_to_105m  F=5s | draw,"(−2,−1]",per second,12.993196753294416
World Cup 2026/27 | post_0_to_105m  F=5s | draw,"(−1,1)",per print,74.0411961039717
World Cup 2026/27 | post_0_to_105m  F=5s | draw,"(−1,1)",per second,74.28577499449482
World Cup 2026/27 | post_0_to_105m  F=5s | draw,"[1,2)",per print,10.144686112019846
World Cup 2026/27 | post_0_to_105m  F=5s | draw,"[1,2)",per second,9.990844012099812
World Cup 2026/27 | post_0_to_105m  F=5s | draw,"[2,3)",per print,1.0958332246197198
World Cup 2026/27 | post_0_to_105m  F=5s | draw,"[2,3)",per second,1.0672327668468247
World Cup 2026/27 | post_0_to_105m  F=5s | draw,"[3,4)",per print,0.11179104507567471
World Cup 2026/27 | post_0_to_105m  F=5s | draw,"[3,4)",per second,0.10933099475752085
World Cup 2026/27 | post_0_to_105m  F=5s | draw,≥4,per print,0.18845923038789686
World Cup 2026/27 | post_0_to_105m  F=5s | draw,≥4,per second,0.1806086220817703
World Cup 2026/27 | pre_last_hour  F=10s | draw,≤−4,per print,0.0
World Cup 2026/27 | pre_last_hour  F=10s | draw,≤−4,per second,0.0
World Cup 2026/27 | pre_last_hour  F=10s | draw,"(−4,−3]",per print,0.32915255213181455
World Cup 2026/27 | pre_last_hour  F=10s | draw,"(−4,−3]",per second,0.2883110075300885
World Cup 2026/27 | pre_last_hour  F=10s | draw,"(−3,−2]",per print,2.1126219927644017
World Cup 2026/27 | pre_last_hour  F=10s | draw,"(−3,−2]",per second,2.0288027655188534
World Cup 2026/27 | pre_last_hour  F=10s | draw,"(−2,−1]",per print,17.905706910284337
World Cup 2026/27 | pre_last_hour  F=10s | draw,"(−2,−1]",per second,17.737856581212323
World Cup 2026/27 | pre_last_hour  F=10s | draw,"(−1,1)",per print,74.71714951970597
World Cup 2026/27 | pre_last_hour  F=10s | draw,"(−1,1)",per second,74.84256235522466
World Cup 2026/27 | pre_last_hour  F=10s | draw,"[1,2)",per print,4.727609469613366
World Cup 2026/27 | pre_last_hour  F=10s | draw,"[1,2)",per second,4.852408849093627
World Cup 2026/27 | pre_last_hour  F=10s | draw,"[2,3)",per print,0.20488067020449682
World Cup 2026/27 | pre_last_hour  F=10s | draw,"[2,3)",per second,0.24793329885879845
World Cup 2026/27 | pre_last_hour  F=10s | draw,"[3,4)",per print,0.0028788852956135383
World Cup 2026/27 | pre_last_hour  F=10s | draw,"[3,4)",per second,0.0021251425616468436
World Cup 2026/27 | pre_last_hour  F=10s | draw,≥4,per print,0.0
World Cup 2026/27 | pre_last_hour  F=10s | draw,≥4,per second,0.0
