cell,route,freshness,n,pos_0c,pos_pct
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,266,1505231,1157884,76.9240070128771
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,267,1505483,1158084,76.92441561943907
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,268,1505733,1158267,76.92379724692226
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,269,1505995,1158461,76.9232965580895
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,270,1506229,1158655,76.92422599750768
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,271,1506468,1158840,76.92430240801663
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,272,1506717,1159039,76.92479742380287
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,273,1506961,1159235,76.92534843303841
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,274,1507179,1159401,76.92523582135898
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,275,1507408,1159576,76.92515894834047
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,276,1507636,1159750,76.92506679331085
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,277,1507864,1159927,76.92517362308537
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,278,1508087,1160115,76.92626486402973
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,279,1508312,1160280,76.92572889428712
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,280,1508542,1160456,76.92566729994923
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,281,1508749,1160601,76.92472372806876
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,282,1508978,1160791,76.92564106302412
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,283,1509193,1160950,76.92521764943251
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,284,1509404,1161119,76.92566072436537
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,285,1509594,1161264,76.92558396496011
