combo,phase,freshness,fresh_pct_of_clock
World Cup 2026/27,pre_last_hour,14,90.84642094017094
World Cup 2026/27,pre_last_hour,15,91.83912037037037
World Cup 2026/27,pre_last_hour,16,92.64529914529916
World Cup 2026/27,pre_last_hour,17,93.37250712250712
World Cup 2026/27,pre_last_hour,18,94.02207977207978
World Cup 2026/27,pre_last_hour,19,94.5584935897436
World Cup 2026/27,pre_last_hour,20,95.04932336182335
World Cup 2026/27,pre_last_hour,21,95.4976851851852
World Cup 2026/27,pre_last_hour,22,95.87054843304844
World Cup 2026/27,pre_last_hour,23,96.21296296296296
World Cup 2026/27,pre_last_hour,24,96.52617521367522
World Cup 2026/27,pre_last_hour,25,96.79042022792022
World Cup 2026/27,pre_last_hour,26,97.03454415954415
World Cup 2026/27,pre_last_hour,27,97.25819088319088
World Cup 2026/27,pre_last_hour,28,97.45156695156696
World Cup 2026/27,pre_last_hour,29,97.6318554131054
World Cup 2026/27,pre_last_hour,30,97.79816595441596
World Cup 2026/27,pre_last_hour,31,97.94399928774928
World Cup 2026/27,pre_last_hour,32,98.08146367521368
World Cup 2026/27,pre_last_hour,33,98.20762108262107
World Cup 2026/27,pre_last_hour,34,98.31908831908832
World Cup 2026/27,pre_last_hour,35,98.42343304843304
World Cup 2026/27,pre_last_hour,36,98.52021011396012
World Cup 2026/27,pre_last_hour,37,98.60559116809117
World Cup 2026/27,pre_last_hour,38,98.68652065527066
World Cup 2026/27,pre_last_hour,39,98.76379985754986
World Cup 2026/27,pre_last_hour,40,98.83262108262107
World Cup 2026/27,pre_last_hour,41,98.89868233618232
World Cup 2026/27,pre_last_hour,42,98.96127136752136
World Cup 2026/27,pre_last_hour,43,99.0164707977208
World Cup 2026/27,pre_last_hour,44,99.06793091168092
World Cup 2026/27,pre_last_hour,45,99.11716524216524
World Cup 2026/27,pre_last_hour,46,99.16159188034187
World Cup 2026/27,pre_last_hour,47,99.20370370370372
World Cup 2026/27,pre_last_hour,48,99.24341168091168
World Cup 2026/27,pre_last_hour,49,99.27857905982906
World Cup 2026/27,pre_last_hour,50,99.3125
World Cup 2026/27,pre_last_hour,51,99.3451745014245
World Cup 2026/27,pre_last_hour,52,99.37473290598292
World Cup 2026/27,pre_last_hour,53,99.40233262108262
World Cup 2026/27,pre_last_hour,54,99.42922008547008
World Cup 2026/27,pre_last_hour,55,99.45290242165242
World Cup 2026/27,pre_last_hour,56,99.47489316239316
World Cup 2026/27,pre_last_hour,57,99.49581552706552
World Cup 2026/27,pre_last_hour,58,99.5153133903134
World Cup 2026/27,pre_last_hour,59,99.53427706552706
World Cup 2026/27,pre_last_hour,60,99.55243945868946
World Cup 2026/27,pre_last_hour,61,99.56944444444444
World Cup 2026/27,pre_last_hour,62,99.5858262108262
