cell,direction,freshness,n,pos_pct,open_pct_of_clock,open_pct_of_fresh,mean_net_c,time_mean_net_c,both_fresh_pct,k_only_pct_of_clock,pm_only_pct_of_clock
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,54,1274391,76.55468376659911,39.98107568166565,77.68051139525328,1.0841898622470265,1.1143648387373157,76.21320098016263,16.924287118977382,2.9057920119867027
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,55,1278874,76.56258552445354,40.343384682617724,77.69275299939525,1.0845603300582014,1.1146587452095411,76.58185450515833,16.710992492703408,2.855207504175056
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,56,1283040,76.57017707943633,40.70439044185357,77.70496663312225,1.0848804840930943,1.1149702040222165,76.94819809274087,16.494217352624432,2.8067300338686767
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,57,1287222,76.57661227045529,41.05364361411559,77.71710932966486,1.085404323277335,1.115231538667219,77.29810678778232,16.288523669054644,2.759516786065459
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,58,1291181,76.58453772166722,41.40167938693013,77.72982872547726,1.0860339215549504,1.11555806407198,77.6457991915219,16.079833309921806,2.7143013219709387
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,59,1295172,76.58936419255512,41.739195579903544,77.74188887761608,1.0866264133548287,1.1158726910846255,77.97855504050194,15.881849822852773,2.669413619266127
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,60,1299032,76.5954957229691,42.074425246991616,77.75398536872602,1.0869291745522,1.116211103257704,78.3094535749403,15.681478359944435,2.6258993928610446
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,1,57437,70.70007138255828,0.4252120601326951,70.37157153446998,0.8361418922864231,0.8387492885910729,0.6042384031802022,4.179278295680413,3.9940931104952266
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,2,80170,71.33591118872395,1.4192211864169537,70.94020682031261,0.8562233869478553,0.8525523997013653,2.0005319000027995,6.506844713193919,7.159514011365863
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,3,100310,71.6797926428073,2.4163657232440303,71.94355537774221,0.8772147380194728,0.892669771906712,3.358416617675877,8.271912880378489,9.04798297919991
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,4,115154,71.94365805790507,3.549312729206909,72.6195385708067,0.8956478667349316,0.9185775665276961,4.887153215195544,9.464012765600067,10.735085803868872
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,5,128974,72.16260641679719,4.584390134654685,73.14914905972216,0.9090111427097967,0.9429707537923037,6.266509896139525,10.509504213207919,11.910640799529688
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,6,139694,72.33667874067605,5.671565745639819,73.547520511145,0.9161160752852407,0.960374801847359,7.710590409003107,11.254024243442233,13.002603510540018
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,7,149706,72.45400985932427,6.662775398225134,73.84226365921008,0.919895514157625,0.9735370048998839,9.02172391590381,11.93787967862042,13.812127320063826
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,8,158054,72.56001113543472,7.673609361440049,74.07310323954471,0.9250118251853238,0.9837213924071555,10.357912712410066,12.431342907533384,14.583074382016179
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,9,165950,72.66345284724315,8.60337056633353,74.2663885995713,0.9317075350283424,0.9913101086394107,11.582682455698329,12.890176646790401,15.167912432462696
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,10,172446,72.71203739141528,9.542789955488368,74.42491092014252,0.9361743640467322,0.9983559712033582,12.819965846420871,13.213935780073346,15.734273956496178
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,11,178768,72.78931352367314,10.410906749531089,74.56969152536935,0.9405679940277745,1.005484167508988,13.958987710310463,13.532151955432381,16.176030906189638
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,12,184159,72.84248937059823,11.286610117297949,74.69772147020569,0.9451194894689477,1.012299403223512,15.106939895299682,13.750566893424038,16.605974076873547
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,13,189350,72.90837074201215,12.099381316312533,74.81387494958481,0.9477728026246431,1.0178129594132261,16.169424148260127,13.977296268301558,16.942554799697657
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,14,193873,72.93228041037173,12.915763836398757,74.92192993424739,0.9508029170768219,1.0229591785908692,17.23546373281823,14.131491279639429,17.275272248817227
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,15,198267,72.99298420816373,13.676520814086953,75.01109338557845,0.9562898783685265,1.0276448518497598,18.2289129643627,14.296800201562107,17.536715097561657
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,16,202254,73.01759174107805,14.438173623358809,75.09373139022398,0.9585359602279871,1.0326143570162416,19.22283810643599,14.403600123176842,17.797626046303296
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,17,205993,73.0350060438947,15.152767279751407,75.16612253003399,0.960181539743753,1.0373519520007697,20.154698916603678,14.520478150107781,18.00277147896195
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,18,209349,73.06650616912428,15.866941015089163,75.23421799463203,0.9618881572828035,1.0418878488258823,21.085551916239748,14.592592592592592,18.20819685899051
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,19,212579,73.09753080031423,16.54211808180062,75.29856870520833,0.9633648412225698,1.046097214325768,21.963998768231573,14.673721340388006,18.369558522997675
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,20,215597,73.11975584075846,17.218106995884774,75.36410889815244,0.9649660258926309,1.0503680926237997,22.841521793902746,14.71814898799026,18.531368102796677
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,21,218488,73.1678627659185,17.85593908345231,75.42041995880345,0.9668306535385399,1.0541870757150655,23.669998040368416,14.774978304078834,18.6570364771423
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,22,221189,73.17995017835426,18.49276336048823,75.47519046465607,0.970649295840895,1.0576976409286343,24.496514655244813,14.799753646314493,18.783992609389433
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,23,223735,73.21384673832883,19.096329889980684,75.52220860444338,0.9741389658348111,1.0610836234331171,25.280283306738333,14.834019204389573,18.88267405727723
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,24,226156,73.22865632572207,19.698132751042802,75.5677485732451,0.9769800132916692,1.0645544866035548,26.061196495058933,14.841969709694578,18.98384703675709
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,25,228523,73.24339344398595,20.271576943534615,75.61097345391477,0.9788472230318546,1.0678701949791818,26.804568741076675,14.859858346630833,19.059824752946447
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,26,230781,73.25343074169884,20.84334145180706,75.6523029120058,0.9807963056242223,1.0713117695277528,27.54556143445032,14.854791299235746,19.138014053357967
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,27,232931,73.2697665832371,21.39147840206041,75.69453731358068,0.9836351858303515,1.0746774655216575,28.254248201338147,14.858766551888245,19.194899358920527
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,28,234819,73.28665908636013,21.93785168388343,75.7346183174015,0.9862001564532734,1.0781561946648721,28.960667394529825,14.8421656728535,19.253912264494275
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,29,236743,73.30269532784496,22.459673581366705,75.77383510344404,0.988243308458197,1.0814510233102044,29.634192771758908,14.8358108675569,19.295344475238654
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,30,238421,73.3123340645329,22.980375689370398,75.81132549436829,0.9891389990782361,1.0847540547878736,30.306150443716582,14.81148344111307,19.338260407043474
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,31,240154,73.33377749277547,23.4790459393634,75.84707864467417,0.9915085490137517,1.0877259685482363,30.94910556815319,14.796086335768877,19.365499286134206
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,32,241744,73.35073466146005,23.97575655776714,75.88169572648361,0.9941778061332215,1.0908128217040227,31.589317208364825,14.765040172447579,19.395397665238935
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,33,243369,73.36842408030604,24.453486744492036,75.91618395379862,0.9951772362509064,1.093739206477172,32.204053637916076,14.742336440749137,19.413174323227235
