cell,source,horizon,triggers,eligible,followed,follow_pct
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,16,262393,261102.0,236668.0,90.64197133687217
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,17,262393,261030.0,237995.0,91.17534383021109
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,18,262393,260946.0,239068.0,91.6158898775992
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,19,262393,260880.0,240074.0,92.0246856792395
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,20,262393,260797.0,240982.0,92.4021365276441
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,21,262393,260722.0,241828.0,92.75320072721136
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,22,262393,260633.0,242533.0,93.05536904382791
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,23,262393,260560.0,243187.0,93.33243782622044
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,24,262393,260456.0,243791.0,93.60160641336732
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,25,262393,260388.0,244386.0,93.85455550947049
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,26,262393,260302.0,244830.0,94.05613479727394
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,27,262393,260244.0,245284.0,94.25154854674844
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,28,262393,260140.0,245690.0,94.4452986853233
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,29,262393,260066.0,246068.0,94.61752016795737
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,30,262393,259973.0,246411.0,94.78330442007439
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,31,262393,259895.0,246718.0,94.929875526655
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,32,262393,259797.0,246997.0,95.07307628648522
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,33,262393,259723.0,247280.0,95.20912664646566
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,34,262393,259633.0,247527.0,95.33726452338493
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,35,262393,259556.0,247745.0,95.44953690147791
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,36,262393,259458.0,247976.0,95.57462094057612
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,37,262393,259392.0,248199.0,95.68490932642487
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,38,262393,259307.0,248399.0,95.79340318618472
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,39,262393,259242.0,248587.0,95.8899406731934
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,40,262393,259151.0,248743.0,95.9838086675336
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,41,262393,259078.0,248910.0,96.07531322613266
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,42,262393,258986.0,249029.0,96.15539063887623
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,43,262393,258927.0,249189.0,96.23909441657301
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,44,262393,258828.0,249288.0,96.31415457369373
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,45,262393,258758.0,249397.0,96.38233407276297
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,46,262393,258657.0,249499.0,96.45940376637786
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,47,262393,258581.0,249599.0,96.52642692231835
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,48,262393,258501.0,249672.0,96.58453932479952
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,49,262393,258435.0,249758.0,96.64248263586589
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,50,262393,258343.0,249814.0,96.69857515009116
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,51,262393,258267.0,249887.0,96.75529587597332
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,52,262393,258180.0,249927.0,96.80339298164071
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,53,262393,258116.0,250007.0,96.85838925134436
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,54,262393,258013.0,250032.0,96.90674500897242
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,55,262393,257941.0,250083.0,96.95356690095797
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,56,262393,257834.0,250101.0,97.00078344981655
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,57,262393,257770.0,250155.0,97.04581603755285
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,58,262393,257679.0,250187.0,97.09250656824965
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,59,262393,257612.0,250226.0,97.13289753582907
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,60,262393,257514.0,250232.0,97.1721925798209
World Cup 2026/27 | post_0_to_105m  F=5s,KALSHI,1,1613722,1613232.0,641376.0,39.75720789074355
